917505	235549305
921601	235683807
925697	237827273
929793	231114892
933889	231412040
937985	228995759
942081	258573735
946177	260083172
950273	261354604
954369	264098450
958465	322370626
962561	323539034
966657	317583922
970753	316726647
974849	319851468
978945	323768278
983041	317596682
987137	327204991
991233	330275728
995329	320427826
999425	321231754
1003521	313804974
1007617	312380201
1011713	318583485
1015809	311222344
1019905	315621802
1024001	317669550
1028097	324310223
1032193	466001092
1036289	426561438
1040385	431161651
1044481	412953476
1048577	553912587
1052673	444664484
1056769	516836726
1060865	429418373
1064961	447408790
1069057	542104232
1073153	424537290
1077249	391576819
1081345	436993681
1085441	374183326
1089537	459152269
1093633	453818188
1097729	452276427
1101825	442475627
1105921	441532157
1110017	442634520
1114113	430160632
1118209	579513139
