Length  ns/op ns/op
917505	235984677	235549305
921601	241112734	235683807
925697	230376414	237827273
929793	236260642	231114892
933889	239701269	231412040
937985	258210135	228995759
942081	287507869	258573735
946177	269501883	260083172
950273	256416507	261354604
954369	270595725	264098450
958465	305904586	322370626
962561	308474781	323539034
966657	309797000	317583922
970753	305526103	316726647
974849	313125968	319851468
978945	302759026	323768278
983041	310553126	317596682
987137	312084824	327204991
991233	311590027	330275728
995329	316020799	320427826
999425	322394578	321231754
1003521	313820399	313804974
1007617	318267377	312380201
1011713	322056417	318583485
1015809	319452161	311222344
1019905	321058045	315621802
1024001	321675416	317669550
1028097	331228869	324310223
1032193	1922761050	466001092
1036289	1927267013	426561438
1040385	1942098677	431161651
1044481	1937205791	412953476
1048577	1902303945	553912587
1052673	1948179731	444664484
1056769	1962153793	516836726
1060865	1951203692	429418373
1064961	1906407519	447408790
1069057	1893792694	542104232
1073153	1916171010	424537290
1077249	1880587734	391576819
1081345	1936235778	436993681
1085441	1979990386	374183326
1089537	1938244785	459152269
1093633	1933308574	453818188
1097729	1971332246	452276427
1101825	2012415139	442475627
1105921	1943975917	441532157
1110017	1992572260	442634520
1114113	1929293951	430160632
1118209	2005744798	579513139
